Stkcd,Stknme,Annctime,Type,Suspdate_start,Susptime,Suspdate_end,Resmdate,Resmtime,Timeperd,Reason,
2,万科A,2003/9/9,1,2003/9/9,9:30,2003/9/9,2003/9/9,10:30,1,董事会决议召开临时股东大会的通知等;,
2,万科A,2003/10/27,1,2003/10/27,9:30,2003/10/27,2003/10/28,9:30,4,因召开股东大会;;,
2,万科A,2003/10/28,1,2003/10/28,9:30,2003/10/28,2003/10/28,10:30,1,第三季报等;,
2,万科A,2004/3/9,1,2004/3/9,9:30,2004/3/9,2004/3/9,10:30,1,年度报告。年度报告董事会决议公告;,
2,万科A,2004/4/2,1,2004/4/2,9:30,2004/4/2,2004/4/2,10:30,1,业绩预增公告。可转债每季度转股情况的公告;,
2,万科A,2004/4/15,1,2004/4/15,9:30,2004/4/15,2004/4/16,9:30,4,可转债停止交易的公告;,
2,万科A,2004/7/5,1,2004/7/5,9:30,2004/7/5,2004/7/5,10:30,1,借贷。业绩预增公告;,
2,万科A,2004/8/6,1,2004/8/6,9:30,2004/8/6,2004/8/6,10:30,1,中期报告。中期报告董事会决议公告。中期;,
2,万科A,2004/9/22,1,2004/9/22,9:30,2004/9/22,2004/9/22,10:30,1,可转债募集说明书。可转债网上(下)发行;,
2,万科A,2005/1/12,1,2005/1/12,9:30,2005/1/12,2005/1/12,10:30,1,业绩修正为大幅增加;,
2,万科A,2005/3/3,1,2005/3/3,9:30,2005/3/6,2005/3/7,9:30,8,其它公告;,
2,万科A,2005/4/6,1,2005/4/6,9:30,2005/4/6,2005/4/6,10:30,1,业绩大幅增加公告;,
2,万科A,2005/4/25,1,2005/4/25,9:30,2005/4/25,2005/4/25,10:30,1,一季度报告。业绩大幅增加公告;,
2,万科A,2005/4/29,1,2005/4/29,9:30,2005/5/8,2005/5/9,9:30,4,因召开股东大会;;,
2,万科A,2005/8/1,1,2005/8/1,9:30,2005/8/1,2005/8/1,10:30,1,半年度报告。董事会决议会议;,
2,万科A,2005/10/10,1,2005/10/10,9:30,2005/10/18,2005/10/19,9:30,28,股权分置改革说明书,
2,万科A,2005/10/19,1,2005/10/19,9:30,2005/10/19,2005/10/20,9:30,4,修改对价方案的沟通结果公告;,
2,万科A,2005/11/7,1,2005/11/7,9:30,2005/12/1,2005/12/2,9:30,76,相关股东会议特别提示公告;,
2,万科A,2005/11/15,1,2005/11/15,9:30,2005/11/15,2005/11/16,9:30,4,股权分置改革相关股东会议通知;,
2,G 万科A,2006/1/6,1,2006/1/6,9:30,2006/1/6,2006/1/6,10:30,1,业绩大幅增加公告;,
2,G 万科A,2006/3/21,1,2006/3/21,9:30,2006/3/21,2006/3/21,10:30,1,年度报告。董事会决议。监事会决议;,
2,G 万科A,2006/5/30,1,2006/5/30,9:30,2006/5/30,2006/5/31,9:30,4,董事会决议召开年度股东大会通知;,
2,G 万科A,2006/6/23,1,2006/6/23,9:30,2006/6/23,2006/6/23,10:30,1,业绩大幅增加公告;,
2,G 万科A,2006/7/17,1,2006/7/17,9:30,2006/7/17,2006/7/18,9:30,4,存在应披露而未披露的信息(无公告);,
2,G 万科A,2006/7/18,1,2006/7/18,9:30,2006/7/18,2006/7/18,10:30,1,董事会决议。董事会决议召开临时股东大会的通知;,
2,G 万科A,2006/8/4,1,2006/8/4,9:30,2006/8/6,2006/8/7,9:30,4,董事会决议。董事会决议召开临时股东大会的通知;,
2,G 万科A,2006/9/28,1,2006/9/28,9:30,2006/9/28,2006/9/28,10:30,1,业绩大幅增加公告;,
2,万科A,2006/12/21,1,2006/12/21,9:30,2006/12/24,2006/12/25,9:30,8,因《21世纪经济报道》报道了公司定向增发;,
2,万科A,2006/12/25,1,2006/12/25,9:30,2006/12/25,2006/12/25,10:30,1,非公开发行的其它公告;,
2,万科A,2006/12/26,1,2006/12/26,9:30,2006/12/26,2006/12/26,10:30,1,非公开发行情况报告及上市公告书;,
2,万科A,2007/1/12,1,2007/1/12,9:30,2007/1/12,2007/1/12,10:30,1,业绩大幅增加公告;,
2,万科A,2007/3/20,1,2007/3/20,9:30,2007/3/20,2007/3/20,10:30,1,年度报告;董事会决议;监事会决议;变更董事、监事;,
2,万科A,2007/4/4,1,2007/4/4,9:30,2007/4/4,2007/4/4,10:30,1,业绩大幅增加公告;其它公告;,
2,万科A,2007/4/13,1,2007/4/13,9:30,2007/4/15,2007/4/16,9:30,4,董事会决议召开年度股东大会通知;一般购买、出售资产;,
2,万科A,2007/7/13,1,2007/7/13,9:30,2007/7/15,2007/7/16,9:30,4,近期将有重大事项公布而申请停牌的公告;;,
2,万科A,2007/7/16,1,2007/7/16,9:30,2007/7/16,2007/7/16,10:30,1,增发获准公告;;,
2,万科A,2007/8/22,1,2007/8/22,9:30,2007/8/22,2007/8/22,10:30,1,增发获准公告;增发招股说明书;网上发行公告;;,
2,万科A,2007/8/24,1,2007/8/24,9:30,2007/8/28,2007/8/29,9:30,12,增发提示性公告;;,
2,万科A,2007/8/29,1,2007/8/29,9:30,2007/8/29,2007/8/29,10:30,1,增发结果公告;变更保荐代表人;;,
2,万科A,2007/9/14,1,2007/9/14,9:30,2007/9/16,2007/9/17,9:30,4,董事会决议;董事会决议召开临时股东大会的通知;;,
2,万科A,2007/10/30,1,2007/10/30,9:30,2007/10/30,2007/10/30,10:30,1,三季度报告;董事会决议;监事会决议;变更高管人员;,
2,万科A,2008/3/20,1,2008/3/20,9:30,2008/3/20,2008/3/20,10:30,1,交易异常波动;,
2,万科A,2008/3/21,1,2008/3/21,9:30,2008/3/21,2008/3/21,10:30,1,年度报告;,
2,万科A,2008/4/23,1,2008/4/23,9:30,2008/4/23,2008/4/24,9:30,4,召开2007年度股东大会，审议利润分配和资本公积金转增股本等议案;,
2,万科A,2008/6/5,1,2008/6/5,9:30,2008/6/5,2008/6/6,9:30,4,"召开2008年第一次临时股东大会,审议参与四川地震灾区灾后安置及恢复重建工作议案;",
2,万科A,2008/9/2,1,2008/9/2,9:30,2008/9/2,2008/9/2,10:30,1,公司债券发行公告;,
2,万科A,2009/4/10,1,2009/4/10,9:30,2009/4/12,2009/4/13,9:30,4,"召开2008年度股东大会,审议2008年度利润分配等议案",
2,万科A,2009/9/15,1,2009/9/15,9:30,2009/9/15,2009/9/16,9:30,4,"召开2009年第一次临时股东大会,审议公开增发A股股票等议案",
2,万科A,2010/3/23,1,2010/3/23,9:30,2010/3/23,2010/3/24,9:30,4,"召开2009年年度股东大会,审议2009年度利润分配等议案",
2,万科A,2010/8/10,1,2010/8/10,9:30,2010/8/10,2010/8/11,9:30,4,召开股东大会,
2,万科A,2011/3/31,1,2011/3/31,9:30,2011/3/31,2011/4/1,9:30,4,"开2010年年度股东大会,审议2010年度利润分配及分红派息方案等议案",
2,万科A,2011/4/8,1,2011/4/8,9:30,2011/4/10,2011/4/11,9:30,4,召开股东大会,
2,万科A,2012/5/11,1,2012/5/11,9:30,2012/5/13,2012/5/14,9:30,4,召开股东大会,
2,万科A,2012/12/26,1,2012/12/26,9:30,2013/1/20,2013/1/21,9:30,60,重大事项,
2,万科A,2015/12/18,1,2015/12/18,13:00,2016/7/3,2016/7/4,9:30,522,"临时停牌,重大事项",
2,万科A,2017/1/12,1,2017/1/12,9:30,2017/1/12,2017/1/13,9:30,4,"临时停牌,重大事项",
2,万科A,2017/6/7,1,2017/6/7,9:30,2017/6/11,2017/6/12,9:30,12,重大事项,
2,万科A,2017/7/14,1,2017/7/14,13:00,2017/7/17,2017/7/18,9:30,6,"临时停牌,重大事项",
3,PT 金田A,2001/5/9,3,2001/5/9,9:30,2001/12/20,2001/12/21,9:30,628,,
3,PT 金田A,2002/4/29,1,2002/4/29,9:30,2002/6/13,2002/6/14,9:30,116,,
3,PT 金田A,2002/6/14,2,2002/6/14,9:30,###############################################################################################################################################################################################################################################################,,,-8888,终止上市,
4,北大高科,2003/4/16,1,2003/4/16,9:30,2003/4/16,2003/4/16,10:30,1,年度报告等;,
4,北大高科,2003/5/16,1,2003/5/16,9:30,2003/5/18,2003/5/19,9:30,4,因召开股东大会;;,
4,北大高科,2003/8/5,1,2003/8/5,9:30,2003/8/5,2003/8/5,10:30,1,第二次预亏等;,
4,北大高科,2003/8/20,1,2003/8/20,9:30,2003/8/20,2003/8/20,10:30,1,中期报告等;,
4,北大高科,2003/10/15,1,2003/10/15,9:30,2003/10/15,2003/10/15,10:30,1,第一次预亏公告等;,
4,北大高科,2003/10/27,1,2003/10/27,9:30,2003/10/27,2003/10/27,10:30,1,第三季报等;,
4,北大高科,2003/10/29,1,2003/10/29,9:30,2003/10/29,2003/10/29,10:30,1,有关股东信息的其它公告等;,
4,北大高科,2004/3/12,1,2004/3/12,9:30,2004/3/12,2004/3/12,10:30,1,有关股东信息的其它公告;,
4,北大高科,2004/4/20,1,2004/4/20,9:30,2004/4/20,2004/4/20,10:30,1,年度报告。年度报告董事会决议公告;,
4,北大高科,2004/4/29,1,2004/4/29,9:30,2004/4/29,2004/4/29,10:30,1,第一季报;,
4,北大高科,2004/5/21,1,2004/5/21,9:30,2004/5/23,2004/5/24,9:30,4,因召开股东大会;;,
4,北大高科,2004/9/29,1,2004/9/29,9:30,2004/9/29,2004/9/29,10:30,1,澄清公告;,
4,北大高科,2005/4/15,1,2005/4/15,9:30,2005/4/15,2005/4/15,10:30,1,股权收购的提示性公告告。收购报告书摘要;,
4,北大高科,2005/4/19,1,2005/4/19,9:30,2005/4/19,2005/4/19,10:30,1,年度报告。董事会决议会决议;,
4,北大高科,2005/4/27,1,2005/4/27,9:30,2005/4/27,2005/4/27,10:30,1,一季度报告。董事会决议;,
4,北大高科,2005/5/20,1,2005/5/20,9:30,2005/5/22,2005/5/23,9:30,4,因召开股东大会;;,
4,国农科技,2006/1/25,1,2006/1/25,9:30,2006/1/25,2006/1/25,10:30,1,业绩修正为预计亏损;,
4,*ST 国农,2006/4/20,1,2006/4/20,9:30,2006/4/20,2006/4/21,9:30,4,年度报告。董事会决议。监事会决议;,
4,*ST 国农,2006/4/26,1,2006/4/26,9:30,2006/4/26,2006/4/26,10:30,1,异常波动;,
4,*ST 国农,2006/4/28,1,2006/4/28,9:30,2006/4/28,2006/4/28,10:30,1,一季度报告。预计盈利公告;,
4,*ST 国农,2006/5/10,1,2006/5/10,9:30,2006/5/10,2006/5/10,10:30,1,异常波动;,
4,*ST 国农,2006/5/25,1,2006/5/25,9:30,2006/5/25,2006/5/26,9:30,4,年度报告。董事会决议。监事会决议。董事;,
4,*ST 国农,2006/6/5,1,2006/6/5,9:30,2006/6/5,2006/6/5,10:30,1,异常波动;,
4,*ST 国农,2006/6/12,1,2006/6/12,9:30,2006/6/12,2006/6/12,10:30,1,异常波动;,
4,*ST 国农,2006/7/3,1,2006/7/3,9:30,2006/7/13,2006/7/14,9:30,36,进行股权分置改革的提示性公告;,
4,*ST 国农,2006/7/13,1,2006/7/13,9:30,2006/7/13,2006/7/14,9:30,4,方案未做调整的沟通结果公告;,
4,*ST 国农,2006/7/24,1,2006/7/24,9:30,2006/8/17,2006/8/18,9:30,76,相关股东会议特别提示公告(股权登记日次日起停牌);,
4,*ST 国农,2006/7/31,1,2006/7/31,9:30,2006/7/31,2006/8/1,9:30,4,股权分置改革相关股东会议通知。股权分置改革说明书;,
4,*ST 国农,2006/10/30,1,2006/10/30,9:30,2006/10/30,2006/10/30,10:30,1,三季度报告。董事会决议。董事会决议召开临时股东大会通知;,
4,*ST 国农,2006/12/19,1,2006/12/19,9:30,2006/12/19,2006/12/20,9:30,4,董事会决议。董事会决议召开临时股东大会的通知;,
4,*ST 国农,2007/3/6,1,2007/3/6,9:30,2007/3/6,2007/3/6,10:30,1,异常波动;,
4,*ST 国农,2007/4/27,1,2007/4/27,9:30,2007/4/27,2007/4/27,10:30,1,年度报告;董事会决议;监事会决议;董事会决议召开临时股东大会;,
4,ST 国农,2007/5/23,1,2007/5/23,9:30,2007/5/23,2007/5/24,9:30,4,年度报告;董事会决议;监事会决议;董事会决议召开临时股东大会;,
4,ST 国农,2007/5/24,1,2007/5/24,9:30,2007/5/24,2007/5/25,9:30,4,撤销退市风险警示公告;,
4,ST 国农,2007/6/1,1,2007/6/1,9:30,2007/6/1,2007/6/1,10:30,1,证监会或本所认定的交易异常波动;,
4,ST 国农,2007/6/6,1,2007/6/6,9:30,2007/6/6,2007/6/6,10:30,1,证监会或本所认定的交易异常波动;,
4,ST 国农,2007/6/27,1,2007/6/27,9:30,2007/6/27,2007/6/27,10:30,1,证监会或本所认定的交易异常波动;,
4,ST 国农,2007/7/18,1,2007/7/18,9:30,2007/7/18,2007/7/18,10:30,1,业绩修正为预计亏损;;,
4,ST 国农,2007/7/24,1,2007/7/24,9:30,2007/7/24,2007/7/24,10:30,1,证监会或本所认定的交易异常波动;;,
4,ST 国农,2007/8/24,1,2007/8/24,9:30,2007/8/24,2007/8/24,10:30,1,半年度报告;预计亏损公告;;,
4,ST 国农,2007/11/12,1,2007/11/12,9:30,2007/11/12,2007/11/12,10:30,1,证监会或本所认定的交易异常波动;;,
4,ST 国农,2008/3/14,1,2008/3/14,9:30,2008/3/16,2008/3/17,9:30,4,召开股东大会;(召开2008年第一次临时股东大会;审议修改公司章程部分条款等议案;;,
4,ST 国农,2008/4/15,1,2008/4/15,9:30,2008/4/15,2008/4/15,10:30,1,业绩快报;,
4,ST 国农,2008/4/21,1,2008/4/21,9:30,2008/4/21,2008/4/21,10:30,1,刊登股票交易异常波动公告，停牌一小时。;,
4,ST 国农,2008/4/24,1,2008/4/24,9:30,2008/4/24,2008/4/24,10:30,1,刊登年度报告;,
4,ST 国农,2008/5/15,1,2008/5/15,9:30,2008/5/15,2008/5/16,9:30,4,召开2007年度股东大会，审议利润分配等议案;,
4,ST 国农,2008/8/18,1,2008/8/18,9:30,2008/8/18,2008/8/19,10:30,5,刊登预计2008年三季度业绩亏损280万-350万左右的公告;,
4,北大高科,2008/8/20,1,2008/8/20,9:30,2008/8/20,2008/8/20,10:30,1,预计亏损公告,
4,ST 国农,2009/3/5,1,2009/3/5,9:30,2009/3/5,2009/3/5,10:30,1,刊登股票交易异常波动公告,
4,ST 国农,2009/4/20,1,2009/4/20,9:30,2009/4/20,2009/4/21,9:30,4,实行退市风险警示公告,
4,*ST 国农,2009/5/13,1,2009/5/13,9:30,2009/5/13,2009/5/14,9:30,4,"召开2008年度股东大会,审议2008年度利润分配等议案",
4,*ST 国农,2009/9/11,1,2009/9/11,9:30,2009/9/17,2009/9/18,10:30,21,不能如期刊登临时报告的停牌公告,
4,*ST 国农,2009/11/6,1,2009/11/6,13:00,2009/11/8,2009/11/9,9:30,2,"临时停牌,重大事项",
4,*ST 国农,2009/11/10,1,2009/11/10,9:30,2010/2/10,2010/2/11,9:30,264,不能如期刊登临时报告,
4,*ST 国农,2010/3/2,1,2010/3/2,9:30,2010/3/2,2010/3/2,10:30,1,交易异常波动,
4,*ST 国农,2010/3/31,1,2010/3/31,9:30,2010/3/31,2010/4/1,9:30,4,"召开2010年第一次临时股东大会,审议关于公司董事会换届选举等议案",
4,*ST 国农,2010/5/13,1,2010/5/13,9:30,2010/5/13,2010/5/14,9:30,4,"召开2009年年度股东大会,审议2009年度利润分配等议案",
4,*ST 国农,2010/5/28,1,2010/5/28,9:30,2010/5/30,2010/5/31,9:30,4,撤销退市风险警示公告,
4,ST 国农,2011/5/13,1,2011/5/13,9:30,2011/5/15,2011/5/16,9:30,4,召开股东大会,
4,ST 国农,2011/6/7,1,2011/6/7,9:30,2011/6/7,2011/6/8,9:30,4,撤销其他特别处理公告,
4,国农科技,2011/6/10,1,2011/6/10,9:30,2011/6/10,2011/6/10,10:30,1,交易异常波动,
4,国农科技,2012/5/17,1,2012/5/17,9:30,2012/5/17,2012/5/18,9:30,4,召开股东大会,
4,国农科技,2012/7/6,1,2012/7/6,9:30,2012/7/6,2012/7/6,10:30,1,交易异常波动,
