event_window_str,relative_day_adj,AAR,Std. E. AAR,AAR_T-stat,AAR_P-value,Median_AR,Wilcoxon_Z_Median_AR,Wilcoxon_Z_Median_AR_P-value,Positive_AR(%),Negative_AR(%),Sign_Z_Positive_AR,Sign_Z_Positive_AR_P-value,ACAR,Std. E. ACAR,ACAR_T-stat,ACAR_P-value,Median_CAR,Wilcoxon_Z_Median_CAR,Wilcoxon_Z_Median_CAR_P-value,Positive_CAR(%),Negative_CAR(%),Sign_Z_Positive_CAR,Sign_Z_Positive_CAR_P-value,CAAR,Std. E. CAAR,CAAR_T-stat,CAAR_P-value,N_Events
"[-2,10]",8,0.009961051307070408,0.008116301811224434,1.2272894156418355,0.22020000545051066,0.007446334730674262,-0.5345224838248488,0.5929800980174267,66.66666666666666,33.33333333333333,0.5773502691896253,0.5637028616507735,0.09416878167773367,0.02691872779311339,3.4982627114281692,0.0005033245864847213,0.10778829293314755,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.09416878167773364,0.02691872779311339,3.4982627114281684,0.0004714175817259747,3
"[-2,10]",9,-0.019406066662375543,0.008116301811224434,-2.39099864861333,0.017112920937863985,-0.020167348305051375,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,0.07476271501535812,0.028115694213208045,2.6591096932700484,0.008046022831008415,0.09233125353873052,-1.0690449676496976,0.28504940740261286,66.66666666666666,33.33333333333333,0.5773502691896253,0.5637028616507735,0.0747627150153581,0.028115694213208045,2.6591096932700475,0.007852258013163693,3
"[-2,10]",10,-0.00910934728430808,0.008116301811224434,-1.1223519647470865,0.26216628013659204,-0.006508245126519819,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,0.06565336773105004,0.029263742347510946,2.2435055281517764,0.025231934893129138,0.0858230084122107,-1.0690449676496976,0.28504940740261286,66.66666666666666,33.33333333333333,0.5773502691896253,0.5637028616507735,0.06565336773105002,0.029263742347510946,2.243505528151775,0.024892465109846107,3
"[-3,3]",-3,-0.01606826086250684,0.008116301811224434,-1.9797515218427746,0.04819260175361606,-0.011523876004164072,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.01606826086250684,0.008116301811224434,-1.9797515218427746,0.04819260175361606,-0.011523876004164072,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.01606826086250684,0.008116301811224434,-1.9797515218427746,0.04819260175361606,3
"[-3,3]",-2,-0.013553400629849449,0.008116301811224434,-1.6698985504833965,0.09546627657133122,-0.010198144389689592,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.029621661492356288,0.01147818409774691,-2.5806923150998093,0.010099020541767034,-0.021722020393853667,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.029621661492356288,0.01147818409774691,-2.5806923150998093,0.009979339222727202,3
"[-3,3]",-1,0.001132597875446593,0.008116301811224434,0.13954605210469964,0.889065968070037,-0.0035823335151128695,0.0,1.0,33.33333333333333,66.66666666666666,-0.5773502691896261,0.5637028616507727,-0.0284890636169097,0.014057847106604023,-2.0265595009584545,0.043153749193514335,-0.025304353908966536,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,-0.028489063616909695,0.014057847106604023,-2.026559500958454,0.0428561482310017,3
"[-3,3]",0,0.09832978274476427,0.008116301811224434,12.11509687931752,0.0,0.09825107489106201,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.06984071912785457,0.01623260362244887,4.3024964295480235,1.974651750868972e-05,0.07294672098209548,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.06984071912785457,0.01623260362244887,4.3024964295480235,1.757199658580788e-05,3
"[-3,3]",1,0.1030220790047438,0.008116301811224434,12.693229182565574,0.0,0.10171487735241254,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.1728627981325984,0.0181486025758025,9.52485445700795,0.0,0.174661598334508,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.17286279813259836,0.0181486025758025,9.524854457007947,0.0,3
"[-3,3]",2,-0.018036764197157343,0.008116301811224434,-2.222288502408007,0.026639661382365176,-0.008771186457279135,-1.0690449676496976,0.28504940740261286,33.33333333333333,66.66666666666666,-0.5773502691896261,0.5637028616507727,0.15482603393544103,0.01988079803592678,7.787717256402556,3.064215547965432e-14,0.15437212495343733,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.15482603393544103,0.01988079803592678,7.787717256402556,8.881784197001252e-15,3
"[-3,3]",3,-0.04379342188438356,0.008116301811224434,-5.395736001810514,9.870869477346389e-08,-0.04471780986562082,-1.6035674514745464,0.10880943004054577,0.0,100.0,-1.7320508075688774,0.08326451666355039,0.11103261205105748,0.021473716158042958,5.17062865290181,3.193059083805849e-07,0.11952990589734702,-1.6035674514745464,0.10880943004054577,100.0,0.0,1.7320508075688774,0.08326451666355039,0.11103261205105747,0.021473716158042958,5.170628652901809,2.442787570000604e-07,3
